"filename", "language", "Properties", "Ignore", "JavaScript", "JSON", "Markdown", "Vue", "XML", "HTML", "Sass", "TypeScript", "comment", "blank", "total"
"c:\Storage\Repos\Web\Axiomatize\src\router\routes.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 3, 68
"c:\Storage\Repos\Web\Axiomatize\src\statics\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Storage\Repos\Web\Axiomatize\src\store\index.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 12, 6, 51
"c:\Storage\Repos\Web\Axiomatize\src\store\module-example\actions.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Storage\Repos\Web\Axiomatize\src\store\module-example\getters.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Storage\Repos\Web\Axiomatize\src\store\module-example\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Storage\Repos\Web\Axiomatize\src\store\module-example\mutations.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Storage\Repos\Web\Axiomatize\src\store\module-example\state.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Storage\Repos\Web\Axiomatize\src\store\store-flag.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 2, 10
"Total", "-", 8, 1, 554, 43, 20, 606, 227, 19, 8, 6, 201, 179, 1872
